<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.06.20	24681	24849	24626	24712	12548	0	0
2018.06.21	24712	24788	24450	24525	13753	0	0
2018.06.22	24522	24661	24405	24655	12062	0	0
2018.06.25	24590	24612	24131	24255	14934	0	0
2018.06.26	24252	24379	24083	24360	16234	0	0
2018.06.27	24359	24571	24085	24258	17133	0	0
2018.06.28	24257	24289	23992	24200	20928	0	0
2018.06.29	24199	24509	24180	24459	15789	0	0
2018.07.02	24218	24336	24039	24196	15152	0	0
2018.07.03	24196	24464	24148	24171	15244	0	0
2018.07.04	24180	24271	24160	24232	8853	0	0
2018.07.05	24225	24375	24126	24323	12941	0	0
2018.07.06	24324	24521	24236	24502	15413	0	0
2018.07.09	24500	24771	24482	24761	9353	0	0
2018.07.10	24760	24944	24749	24886	10593	0	0
2018.07.11	24886	24930	24616	24701	15548	0	0
2018.07.12	24700	24941	24659	24895	12468	0	0
2018.07.13	24895	25043	24876	25027	11202	0	0
2018.07.16	25074	25104	24978	25034	8480	0	0
2018.07.17	25034	25143	24987	25130	10598	0	0
2018.07.18	25129	25214	25092	25181	9304	0	0
2018.07.19	25180	25212	25046	25107	10481	0	0
2018.07.20	25105	25127	24924	25081	12496	0	0
2018.07.23	25080	25091	24969	25055	9724	0	0
2018.07.24	25056	25285	25033	25201	10494	0	0
2018.07.25	25200	25252	25107	25220	11274	0	0
2018.07.26	25220	25588	25215	25539	11771	0	0
2018.07.27	25538	25587	25367	25449	11144	0	0
2018.07.30	25432	25495	25311	25391	9724	0	0
2018.07.31	25390	25489	25286	25472	10655	0	0
2018.08.01	25473	25484	25297	25321	11111	0	0
2018.08.02	25321	25374	25112	25347	12472	0	0
2018.08.03	25346	25432	25289	25426	9980	0	0
2018.08.06	25454	25541	25375	25468	8256	0	0
2018.08.07	25469	25691	25461	25659	7867	0	0
2018.08.08	25659	25670	25552	25600	7769	0	0
2018.08.09	25601	25627	25507	25576	7417	0	0
2018.08.10	25577	25583	25245	25251	10813	0	0
2018.08.13	25253	25379	25150	25222	12271	0	0
2018.08.14	25223	25340	25181	25326	11661	0	0
2018.08.15	25325	25338	24965	25056	12415	0	0
2018.08.16	25054	25594	25003	25582	12646	0	0
2018.08.17	25583	25666	25501	25616	11263	0	0
2018.08.20	25696	25790	25658	25772	8351	0	0
